Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
11208,Los Angeles Department of Water & Power,408,Valley (CA),CA,Los Angeles,1,Natural Gas Steam Turbine,ST,,S,X,X,none,none,100.00, ,95,95, ,, , ,RE,X,9,1954,12,1992,N,Electric Utility,1,X,NG,RFO,,,,,,,,,N,N, ,,,,,,,,,,,
11208,Los Angeles Department of Water & Power,408,Valley (CA),CA,Los Angeles,2,Natural Gas Steam Turbine,ST,,S,X,X,none,none,100.00, ,99,99, ,, , ,RE,X,12,1954,12,1992,N,Electric Utility,1,X,NG,RFO,,,,,,,,,N,N, ,,,,,,,,,,,
3452,Chevron USA Inc-El Segundo,10213,El Segundo Cogen,CA,Los Angeles,GEN4,Natural Gas Fired Combined Cycle,CA,,W,Y,X,,,1.20, ,1,1, ,N, , ,RE,X,11,1991,10,1996,Y,Industrial CHP,7,B,NG,OG,,,,,,,,,N,, ,,,,,,,,,,N,N
11217,Los Angeles County Sanitation,10091,Total Energy Facilities,CA,Los Angeles,GEN3,Other Waste Biomass,CT,,S,X,,,,9.90, ,8,9, ,, , ,RE,X,1,1986,10,2000,N,Commercial CHP,5,X,OBG,NG,,,,,,,,,N,, ,,,,,,,,,Y,Y,Y
16578,Saint Agnes Medical Center,54800,Saint Agnes Medical Center,CA,Fresno,9930,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.70, ,0.7,0.7, ,, , ,RE,X,5,1983,6,2000,N,Commercial CHP,5,X,NG,,,,,,,,,,,, ,,,,,,,,,N,N,N
17609,Southern California Edison Co,7148,San Gorgonio 1,CA,Riverside,1,Conventional Hydroelectric,HY,,S,X,X,,,1.50,0.8,1.5,1.5, ,N, , ,RE,X,12,1923,6,2001,N,Electric Utility,1,X,WAT,,,,,,,,,,N,, ,,,,,,,,,,,
13960,NRG Cabrillo Power Ops Inc,306,Naval Station,CA,San Diego,NSGT,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,26.00, ,20,22, ,, , ,RE,X,9,1976,11,2002,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,,,
13960,NRG Cabrillo Power Ops Inc,307,North Island,CA,San Diego,NIG1,Petroleum Liquids,GT,,W,X,X,,,19.00, ,17,14, ,, , ,RE,X,6,1972,11,2002,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,,
13960,NRG Cabrillo Power Ops Inc,307,North Island,CA,San Diego,NIG2,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,18.00, ,17,18, ,, , ,RE,X,6,1972,11,2002,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,,,
13584,NRG El Segundo Operations Inc,330,El Segundo Power,CA,Los Angeles,1,Natural Gas Steam Turbine,ST,,W,X,X,,,156.20, ,145.3,146.8, ,N, , ,RE,X,5,1955,12,2002,N,IPP Non-CHP,2,X,NG,OG,,,,,,,,,,, ,,,,,,,,,,,
